,0,1,2
112,"In Sununu’s NH, intimidation rules. 

“Just weeks after an angry mob shut down a meeting of the NH Executive Counci… https://t.co/l97JwBGjli",ChairmanBuckley,"Manchester, New Hampshire"
113,"@JanessaWaterson I am doing something that shows I care about my community, loved ones, viability of the company th… https://t.co/ZfGieNkFsv",jimdunn,"Bethesda, MD"
114,Covid 19 vaccination,BILLIEROJAS9,
115,"@seanie_bhoy 🤣🤣🤣 Clowns. Probably refuse the lead apron during x-rays aswell. 
Whoever thought calling it “vaccinat… https://t.co/0JODjDzHsa",Buaidh_BhoysHH,"Manhattan, NY"
116,Do we have to disclose our vaccination status to Twitter yet?,CigargoyleMK,
117,On some real s*** Kyrie Irving is a bootleg Colin Kaepernick sit your fake ass down it's easy to talk that shitt af… https://t.co/AP1N8M37Lj,TheGreatRobTho1,"Syracuse, NY"
118,"The same way I ever felt when producing my vaccination card for the military, school, etc; thank goodness I don’t h… https://t.co/k1sMJgMfpx",kevinlh1975,"Arkansas, USA"
119,"@WGNNews And if masking actually WORKS, why should anyone NEED a vaccination?",douglas98883711,"Chicago, IL"
120,"@AngryBlackLady ""How do you feel...?"" I'd feel jubilant if proper vaccination passports were actually a thing here, like in Europe.",jgownder,"Massachusetts, USA"
121,@j_ex4444 @ScottPresler You clearly don’t understand herd immunity.  The only reason we have controlled certain dea… https://t.co/wo5UUQD8wF,AZDevil88,"Scottsdale, AZ"
122,Some sleepless nights. My partner’s mother contracted covid at a religious retreat run by a group that discouraged… https://t.co/iia6wliEqF,BBMATTH,"Columbus, OH"
123,"@JanessaWaterson Vaccination includes people. For the large majority, those still without vaccines chose to be excl… https://t.co/vQRaaQTFHe",johnbeamon_,"North Carolina, USA"
124,"@POTUS I apologize a tweet about the kgb film on the space station and firsts
The quality and risk of vaccination h… https://t.co/j5YeblZFOS",GlenMcclatchey,"Las Vegas, NV"
125,"@harderHB @KagutaMuseveni That’s insane?? Do research before you post. Vaccination is not mandatory, it’s optional… https://t.co/Z2lqMytvSK",IbrahMukiibi,United States Washington DC
126,"Check out this beautiful short story, winner of the @NEJMPerspec fiction competition…from school performance to… https://t.co/WeY0bq2IMz",BeenaDoc,"Chicago, IL"
127,I had a dream I got the vaccination lol,NateAdamCastle,Str0ngH0DL
128,"@patriottakes WTF? He could just wear a mask without telling them his vaccination status, which he  did anyway by j… https://t.co/vvmAqXWhxG",secondnaturegrl,
129,@Psychosocial_24 @TheLaurenChen We are all better off with as high a vaccination rate as possible. But the vaccinat… https://t.co/yDQl9qTSO3,jwestonharvey,"Chicago, IL"
130,"@MonicaGandhi9 I think our focus is incorrect here when discussing the individual, we should be thinking about smal… https://t.co/hqYsU7ZTEk",santa_care,"Santa Monica, CA"
131,"My proof of vaccination doesn’t exclude people, lovey… they’ve excluded themselves. Move along. https://t.co/SxwW2JbJCG",tamhodge,"Los Angeles, CA"
132,Making employees choose between an experimental gene therapy or the ability to provide for their families is force… https://t.co/YXV4oAzcYH,KatieDaviscourt,"Seattle, WA"
133,@PrescribedOpin1 @DavyGoneWild @Kay_Whoa What reduces your symptoms? The vaccination or the antibodies?,gfergfinancial,"La Grange, TX"
